url,salary_from,salary_to,salary_cur,name,ref
http://hh.ru/,20000.0,40000.0,руб.,Швея (спецодежда),https://korolev.hh.ru/vacancy/44688601?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,60000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44010974?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,60000.0,руб.,Ткани мастер/ Помощник мастера (Швея - Портной),https://korolev.hh.ru/vacancy/44495150?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,60000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44321730?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,100000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44505228?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,25000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44318195?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,100000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44849226?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,55000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44564840?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,27000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/44498621?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,30000.0,56000.0,руб.,Швея-портной-мастер по ремонту одежды,https://korolev.hh.ru/vacancy/43469862?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,32000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/40673309?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,38000.0,60000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44789050?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,80000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44210770?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Швея,https://korolev.hh.ru/vacancy/44570752?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,30000.0,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44809974?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,39000.0,39000.0,руб.,Швея,https://korolev.hh.ru/vacancy/39948539?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/39418273?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,65000.0,руб.,Швея в Ателье,https://korolev.hh.ru/vacancy/44803627?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,60000.0,80000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44844483?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,32000.0,32000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44763508?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/39418273?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,54800.0,руб.,Швея,https://korolev.hh.ru/vacancy/44327297?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,40000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44815406?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,35000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44855072?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,30000.0,руб.,Швея на производство плетенной мебели,https://korolev.hh.ru/vacancy/44741988?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,100000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44834563?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,60000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44524030?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,70000.0,руб.,Швея в производство мебели,https://korolev.hh.ru/vacancy/44424627?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Швея,https://korolev.hh.ru/vacancy/44100654?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,70000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44231506?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,800.0,1000.0,бел.руб.,Вышивальщица (вышивальщик)-швея,https://korolev.hh.ru/vacancy/44339120?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,39000.0,39000.0,руб.,Швея,https://korolev.hh.ru/vacancy/39948539?query=%D1%88%D0%B2%D0%B5%D1%8F
